Price,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Automatic,CC,Doors,Cylinders,Weight,Reg_Fee
13500,10,2002,46986,Diesel,90,1,0,2000,3,4,1165,752.0621533534605
13750,10,2002,72937,Diesel,90,1,0,2000,3,4,1165,700.0170165353716
13950,9,2002,41711,Diesel,90,1,0,2000,3,4,1165,729.818124815338
14950,7,2002,48000,Diesel,90,0,0,2000,3,4,1165,760.2411350222633
13750,3,2002,38500,Diesel,90,0,0,2000,3,4,1170,726.31269184022
12950,1,2002,61000,Diesel,90,0,0,2000,3,4,1170,571.4631595749544
16900,6,2002,94612,Diesel,90,1,0,2000,3,4,1245,904.720201134409
18600,3,2002,75889,Diesel,90,1,0,2000,3,4,1245,942.7790105521359
21500,6,2002,19700,Petrol,192,0,0,1800,3,4,1185,1112.1323983962998
12950,10,2002,71138,Diesel,69,0,0,1900,3,4,1105,628.3333446687818
20950,8,2002,31461,Petrol,192,0,0,1800,3,4,1185,1058.4317932053793
19950,11,2002,43610,Petrol,192,0,0,1800,3,4,1185,971.9057109203338
19600,8,2002,32189,Petrol,192,0,0,1800,3,4,1185,956.8178445920965
21500,2,2002,23000,Petrol,192,1,0,1800,3,4,1185,1057.3328539793124
22500,1,2002,34131,Petrol,192,1,0,1800,3,4,1185,1190.2400094379748
22000,5,2002,18739,Petrol,192,0,0,1800,3,4,1185,1150.2940664243401
22750,3,2002,34000,Petrol,192,1,0,1800,3,4,1185,1127.8664932513445
17950,9,2002,21716,Petrol,110,1,0,1600,3,4,1105,883.6336274733732
16750,9,2002,25563,Petrol,110,0,0,1600,3,4,1065,824.5550950947635
16950,3,2002,64359,Petrol,110,1,0,1600,3,4,1105,852.2288912978644
15950,3,2002,67660,Petrol,110,1,0,1600,3,4,1105,816.7038884116774
16950,4,2002,43905,Petrol,110,0,1,1600,3,4,1170,876.4536890185451
15950,5,2002,56349,Petrol,110,1,0,1600,3,4,1120,824.3174804765237
16950,5,2002,32220,Petrol,110,1,0,1600,3,4,1120,828.6744568650631
16250,4,2002,25813,Petrol,110,1,0,1600,3,4,1120,789.1887255880125
15950,8,2002,28450,Petrol,110,1,0,1600,3,4,1120,823.0320060819791
17495,6,2002,34545,Petrol,110,1,0,1600,3,4,1120,881.3960008271132
15750,4,2002,41415,Petrol,110,1,0,1600,3,4,1120,783.4464015190774
16950,5,2002,44142,Petrol,110,0,0,1600,3,4,1120,825.1032237140013
17950,3,2002,11090,Petrol,110,1,0,1600,3,4,1120,940.1070213829627
12950,4,2002,9750,Petrol,97,1,0,1400,3,4,1100,649.8650723705068
15750,11,2002,35199,Petrol,97,1,0,1400,3,4,1100,830.3406978084437
15950,6,2002,29510,Petrol,97,1,0,1400,3,4,1100,770.9712343651934
14950,7,2002,32692,Petrol,97,1,0,1400,3,4,1100,740.5007185193197
15500,11,2002,41000,Petrol,97,1,0,1400,3,4,1100,778.9661332603642
15750,7,2002,43000,Petrol,97,0,0,1400,3,4,1100,767.5997253982215
15950,8,2002,25000,Petrol,97,0,0,1400,3,4,1100,817.7233599269397
14950,10,2002,10000,Petrol,97,1,0,1400,3,4,1100,726.5202006917355
15750,1,2002,25329,Petrol,97,1,0,1400,3,4,1100,729.1788190866052
14750,6,2002,27500,Petrol,97,0,0,1400,3,4,1100,749.9447823427809
13950,11,2002,49059,Petrol,97,0,0,1400,3,4,1100,743.6616652819223
16750,6,2002,44068,Petrol,97,1,0,1400,3,4,1100,825.4565992812669
13950,11,2002,46961,Petrol,97,0,0,1400,3,4,1100,706.6264311219733
16950,6,2002,110404,Diesel,90,0,0,2000,5,4,1255,837.814419989899
16950,11,2002,100250,Diesel,90,0,0,2000,5,4,1255,860.0153280728822
19000,10,2002,84000,Diesel,90,0,0,2000,5,4,1270,952.8983610553026
17950,6,2002,79375,Diesel,90,1,0,2000,5,4,1255,869.8911661968986
15800,11,2002,75048,Petrol,97,1,0,1400,5,4,1110,850.3300240124438
17950,11,2002,72215,Diesel,90,1,0,2000,5,4,1255,916.1722830863705
21950,2,2002,64982,Petrol,192,1,0,1800,5,4,1195,1097.9668183888011
17950,11,2002,62636,Diesel,90,1,0,2000,5,4,1255,907.417765815168
15750,3,2002,57086,Petrol,97,1,0,1400,5,4,1110,776.2397298746337
20500,7,2002,56000,Petrol,110,1,1,1600,5,4,1180,1036.310014173406
21950,6,2002,49866,Petrol,192,1,0,1800,5,4,1195,1078.070396116015
15500,8,2002,49163,Petrol,110,0,1,1600,5,4,1165,807.3404420416097
13250,1,2002,45725,Petrol,110,1,0,1600,5,4,1075,648.9012258333107
15250,5,2002,43210,Petrol,97,0,0,1400,5,4,1110,735.8948878233406
15250,7,2002,43000,Petrol,97,0,0,1400,5,4,1110,782.5969567438447
18950,10,2002,39704,Petrol,110,1,1,1600,5,4,1180,872.6692271967414
15999,3,2002,38950,Petrol,110,1,0,1600,5,4,1130,749.5133199210302
14950,11,2002,37400,Petrol,97,1,0,1400,5,4,1110,768.207469958678
16500,6,2002,37177,Petrol,110,0,0,1600,5,4,1130,814.4963433242953
18750,2,2002,36544,Petrol,110,1,0,1600,5,4,1130,951.9320520689056
17950,3,2002,33511,Petrol,110,1,0,1600,5,4,1130,887.0731171955372
17950,6,2002,32809,Petrol,97,1,0,1400,5,4,1110,943.5763325154769
16950,7,2002,32181,Petrol,110,1,0,1600,5,4,1075,834.9597361998889
18950,5,2002,30993,Petrol,110,1,0,1600,5,4,1130,918.8385890035521
14950,11,2002,30400,Petrol,97,1,0,1400,5,4,1110,803.6733722893036
22250,11,2002,30000,Diesel,110,1,0,2000,5,4,1275,1143.6629508857054
15950,8,2002,29719,Petrol,97,1,0,1400,5,4,1110,815.8193567678946
15950,5,2002,29206,Petrol,97,1,0,1400,5,4,1110,755.9815513492406
12995,1,2002,29198,Petrol,97,1,0,1400,5,4,1060,651.2226465578229
18950,5,2002,28817,Petrol,110,1,0,1598,5,4,1130,953.5146390020417
15750,10,2002,28227,Petrol,97,1,0,1400,5,4,1110,813.3066352558669
19950,5,2002,28000,Petrol,110,0,0,1600,5,4,1130,980.5137768747942
16950,10,2002,28000,Petrol,110,1,0,1600,5,4,1115,828.4690343037806
18750,2,2002,25266,Petrol,110,1,0,1600,5,4,1130,919.079130216923
18450,6,2002,23489,Petrol,110,0,0,1600,5,4,1115,921.2108962257865
16895,4,2002,22575,Petrol,110,1,0,1600,5,4,1115,775.6823652051506
14900,3,2002,22000,Petrol,97,1,0,1400,5,4,1110,766.2945154665543
18950,8,2002,20019,Petrol,110,1,1,16000,5,4,1180,973.6356678179213
17250,4,2002,20000,Petrol,110,1,0,1600,5,4,1115,883.7085889116452
15450,8,2002,17003,Petrol,97,1,0,1400,5,4,1110,796.9844351368096
17950,2,2002,16238,Petrol,110,1,1,1600,5,4,1180,920.4304639421641
16650,8,2002,15414,Petrol,97,1,0,1400,5,4,1110,837.7209283065163
17450,5,2002,8537,Petrol,110,1,0,1600,5,4,1130,957.1302413692584
14900,3,2002,7000,Petrol,97,1,0,1400,5,4,1100,745.0059693018745
17950,1,2003,66966,Diesel,90,1,0,2000,3,4,1245,919.3533825954682
15950,2,2003,51884,Petrol,97,1,0,1400,3,4,1100,808.0326370514795
21950,2,2003,50005,Diesel,110,1,0,2000,3,4,1265,1083.3763664827704
16450,1,2003,48110,Petrol,97,1,0,1400,3,4,1100,813.735618617248
22250,1,2003,37500,Diesel,90,1,0,2000,3,4,1260,1114.8746786517668
19950,5,2003,34472,Diesel,90,1,0,1995,3,4,1260,1071.0618381059694
15950,1,2003,33329,Petrol,97,1,0,1400,3,4,1100,751.5193385565399
18900,1,2003,31850,Petrol,110,0,0,1600,3,4,1120,927.4903914817827
19950,4,2003,30351,Diesel,90,1,0,1995,3,4,1260,1019.1545839445827
15950,2,2003,29435,Petrol,97,1,0,1400,3,4,1100,804.1899898348156
15950,2,2003,25948,Petrol,97,1,0,1400,3,4,1100,788.8680235627814
18750,10,2003,24500,Petrol,110,1,0,1600,3,4,1120,956.8854098757962
17450,3,2003,23902,Petrol,97,1,0,1400,3,4,1100,902.7118504768814
18990,1,2003,23175,Petrol,110,1,0,1600,3,4,1120,917.4504895610047
16250,2,2003,19200,Petrol,97,1,0,1400,3,4,1100,771.9209726012
18500,8,2003,18000,Petrol,71,0,0,1400,3,4,1125,929.5992802822013
18500,10,2003,16123,Petrol,110,1,0,1600,3,4,1105,849.848575230249
19450,10,2003,14635,Petrol,110,1,1,1600,3,4,1155,1004.0230792615775
16950,2,2003,13748,Petrol,97,1,0,1400,3,4,1100,906.8639738850904
18800,7,2003,11500,Petrol,110,1,0,1600,3,4,1045,950.4286594045617
17450,4,2003,10000,Petrol,97,1,0,1400,3,4,1100,906.707613834914
17950,1,2003,7187,Petrol,110,1,0,1600,3,4,1105,919.126151437936
32500,5,2004,1,Diesel,116,0,0,2000,5,4,1480,1690.2539002433093
31000,5,2004,4000,Diesel,116,1,0,2000,5,4,1480,1590.6312333544095
31275,5,2004,1500,Diesel,116,1,0,2000,5,4,1480,1560.8082739432286
24950,1,2004,13253,Diesel,116,1,0,2000,5,4,1320,1213.9115061739283
24950,1,2004,13253,Diesel,116,1,0,2000,5,4,1320,1267.625969557408
22950,2,2004,10000,Diesel,116,1,0,2000,5,4,1270,1130.9305894938216
24990,1,2004,6000,Diesel,90,1,0,2000,5,4,1280,1265.1223415604074
21950,1,2004,10841,Diesel,90,1,0,2000,5,4,1270,1141.3057952063148
17900,2,2004,1,Petrol,110,1,0,1600,3,4,1105,884.9419569356801
19250,1,2003,63000,Diesel,90,1,0,2000,5,4,1255,1026.6922189533784
22250,4,2003,57313,Diesel,110,1,0,2000,5,4,1275,1139.7698498363263
18950,8,2003,57037,Petrol,110,0,0,1600,5,4,1115,948.8190845920532
19950,2,2003,51099,Diesel,90,1,0,2000,5,4,1255,1007.9085841104459
16350,7,2003,40010,Petrol,110,1,0,1600,5,4,1115,820.9542604800088
18950,1,2003,39115,Petrol,110,1,0,1600,5,4,1130,953.786391614297
16950,4,2003,36012,Petrol,110,0,0,1600,5,4,1130,923.5927405936033
21750,5,2003,36000,Petrol,110,1,0,1600,5,4,1130,1110.1753340755104
15950,1,2003,36000,Petrol,110,1,0,1600,5,4,1075,763.5169454528273
16500,1,2003,35000,Petrol,97,1,0,1400,5,4,1110,829.7169284517695
17950,4,2003,33740,Petrol,97,1,0,1400,5,4,1135,905.6024840076841
15850,8,2003,33477,Petrol,110,1,0,1600,5,4,1075,857.3900200077251
16250,1,2003,32627,Petrol,97,1,0,1400,5,4,1110,795.7605928214917
15950,1,2003,29797,Petrol,97,1,0,1400,5,4,1110,809.508534716488
16250,2,2003,29441,Petrol,97,1,0,1400,5,4,1110,784.1720689749029
15950,8,2003,29371,Petrol,110,1,0,1600,4,4,1105,813.7117093766685
16500,1,2003,29000,Petrol,97,0,0,1400,5,4,1110,825.1746634884078
16500,2,2003,27821,Petrol,97,0,0,1400,5,4,1110,777.1734681463645
18450,2,2003,27371,Petrol,97,0,0,1400,5,4,1135,873.467082331174
16250,8,2003,25170,Petrol,110,1,0,1600,5,4,1105,850.8619770380056
23000,10,2003,25000,Diesel,116,1,0,2000,5,4,1320,1129.8407775368194
19900,1,2003,23000,Petrol,110,1,0,1600,5,4,1130,954.8571529214732
16450,1,2003,22588,Petrol,97,1,0,1400,5,4,1110,859.4724736195371
23950,2,2003,21684,Petrol,192,1,0,1800,5,4,1185,1244.3600412853853
19950,8,2003,21428,Petrol,110,1,0,1600,5,4,1130,1046.7833714578699
18500,5,2003,20629,Petrol,110,1,0,1600,4,4,1090,940.7592928574171
18950,6,2003,20270,Petrol,110,1,0,1600,5,4,1130,932.826331429726
16450,5,2003,20105,Petrol,97,0,0,1400,5,4,1110,812.1553912662766
20500,1,2003,20000,Petrol,110,0,1,1600,5,4,1165,1038.065341077308
24500,8,2003,19988,Petrol,110,1,0,1600,5,4,1130,1226.4390078840204
19450,2,2003,18328,Petrol,110,0,0,1600,5,4,1130,973.3527162383876
20950,7,2003,17896,Petrol,110,1,1,1600,4,4,1150,1066.5626076245223
17200,1,2003,17300,Petrol,97,1,0,1400,5,4,1110,834.3778182672976
19950,2,2003,17038,Petrol,110,0,0,1600,5,4,1130,930.3184849312105
18450,11,2003,13747,Petrol,97,1,0,1400,5,4,1110,883.0597239098888
19500,9,2003,13634,Petrol,110,1,0,1600,5,4,1115,966.8434478838245
21750,8,2003,13178,Petrol,110,1,0,1600,5,4,1130,1038.551708793739
16868,6,2003,13157,Petrol,97,1,0,1400,4,4,1085,873.01480073139
19500,5,2003,13000,Petrol,110,1,0,1600,4,4,1105,1011.5461125475437
18900,10,2003,12500,Petrol,110,1,0,1600,5,4,1115,933.283257375193
19750,4,2003,11999,Petrol,110,1,0,1600,5,4,1130,968.7683310016805
19750,5,2003,11754,Petrol,110,0,1,1600,5,4,1180,969.0276694831845
18950,5,2003,11000,Petrol,110,1,0,1600,4,4,1105,929.8833380623687
20750,4,2003,10000,Petrol,110,0,0,1598,5,4,1105,1015.1295209765462
19600,12,2003,7650,Petrol,110,1,0,1600,5,4,1115,933.6735715160767
19500,7,2003,6500,Petrol,110,1,0,1600,4,4,1100,946.9006576266258
17650,10,2003,6155,Petrol,97,1,0,1400,5,4,1110,856.4943248406827
19950,7,2003,6000,Petrol,110,0,0,1600,5,4,1130,979.5542002163975
19950,7,2003,5459,Petrol,110,1,0,1600,5,4,1130,1022.6921519962407
20950,7,2003,5278,Petrol,110,1,1,1600,4,4,1150,1005.3469761197039
20500,9,2003,5000,Petrol,110,1,0,1600,5,4,1130,1031.4641562307706
17795,12,2003,1,Petrol,98,1,0,1400,4,4,1065,901.2294706259
18245,12,2003,1,Petrol,110,1,0,1600,5,4,1075,960.5922794992938
23750,1,2004,11000,Petrol,110,1,0,1600,5,4,1130,1185.1686752597714
19500,1,2004,10077,Petrol,97,1,0,1400,5,4,1110,954.0178784778996
18950,1,2004,10000,Petrol,97,1,0,1400,5,4,1110,955.6710604849828
21950,1,2004,9788,Petrol,110,1,0,1600,5,4,1130,1053.19987574889
19950,1,2004,8574,Petrol,110,1,0,1600,5,4,1130,999.1105010696654
18950,1,2004,7000,Petrol,110,0,0,1600,5,4,1115,949.3237733687223
19950,2,2004,6250,Petrol,110,1,0,1600,5,4,1115,989.9719102923675
21950,1,2004,5000,Petrol,110,1,0,1600,5,4,1130,1093.1513059954586
22500,3,2004,3000,Petrol,110,0,0,1600,5,4,1130,1152.8345150826788
18500,2,2004,2000,Petrol,110,0,0,1600,5,4,1075,939.3607445608583
18700,2,2004,450,Petrol,97,1,0,1400,5,4,1110,957.1992224208723
21125,7,2004,225,Petrol,97,1,0,1400,5,4,1110,1055.8042830723025
21500,7,2004,15,Petrol,110,1,0,1600,5,4,1130,1104.8491848029682
17795,8,2004,1,Petrol,98,1,0,1400,4,4,1100,868.2703847926185
18245,8,2004,1,Petrol,110,1,0,1600,5,4,1075,908.7304604245172
6950,2,2001,243000,Diesel,69,0,0,1900,3,4,1110,341.4808029402649
9500,7,2001,180638,Diesel,90,0,0,2000,4,4,1160,459.03008404273663
11950,5,2001,179860,Diesel,90,1,0,2000,5,4,1205,555.271439580661
7750,2,2001,178858,CNG,110,0,0,1600,3,4,1084,392.2994966133233
11950,5,2001,161000,Diesel,69,1,0,1900,3,4,1105,613.4941735237929
4350,1,2001,158320,Diesel,69,0,0,1800,5,4,1110,190.11802490207512
4750,1,2001,131273,Diesel,69,1,0,1800,5,4,1110,191.42038803722448
11750,5,2001,130062,Diesel,69,1,0,1900,5,4,1140,615.195266699443
13250,4,2001,123425,Diesel,69,1,0,1900,5,4,1140,618.395789354719
11950,8,2001,118217,Petrol,110,1,0,1600,5,4,1075,608.7742563180863
11900,1,2001,110000,Diesel,69,1,0,1900,5,4,1095,625.0444306777111
14750,6,2001,108847,Diesel,90,1,0,2000,5,4,1205,779.3785447354455
9950,3,2001,105699,Petrol,97,1,0,1400,3,4,1025,522.1385475967061
11950,6,2001,98823,CNG,110,1,0,1600,5,4,1119,598.9570631925845
11495,1,2001,96829,Petrol,110,1,0,1600,5,4,1075,547.8834724273353
11250,5,2001,96518,Petrol,97,1,0,1400,3,4,1025,575.2672433931916
10500,3,2001,92204,Petrol,110,1,0,1600,5,4,1075,562.4298819730562
10450,10,2001,91456,Diesel,69,1,0,1900,3,4,1110,537.79965545362
12950,2,2001,89968,Diesel,69,1,0,1900,5,4,1140,626.2386736524306
11500,1,2001,89757,Petrol,110,1,0,1600,3,4,1045,581.0881122753017
12500,5,2001,85389,Petrol,110,1,0,1600,5,4,1075,629.5069388356019
10950,2,2001,85017,Petrol,97,0,0,1400,5,4,1060,575.4883621224703
11450,4,2001,84312,Petrol,110,0,0,1600,5,4,1080,587.1101949575614
11950,8,2001,82743,CNG,110,1,0,1600,5,4,1121,612.4194764197348
13250,4,2001,81106,Diesel,69,1,0,1900,5,4,1140,673.5590616743057
14750,5,2001,80425,Diesel,90,1,0,2000,5,4,1205,720.5611642323391
11790,11,2001,78677,Petrol,110,1,1,1600,5,4,1105,566.8139707730304
11450,5,2001,78425,Petrol,110,1,0,1600,5,4,1075,599.6575311489219
13500,12,2001,78108,Diesel,90,1,0,2000,3,4,1170,664.1271306074204
10950,12,2001,77321,Petrol,110,1,0,1600,5,4,1075,589.3102965575695
13500,12,2001,75699,Diesel,69,0,0,1900,3,4,1105,668.1590194446159
10950,4,2001,75697,Petrol,97,1,0,1400,3,4,1025,519.1920755085793
10950,1,2001,74846,Petrol,97,1,0,1400,3,4,1025,553.3856440566432
12950,7,2001,74319,Petrol,110,1,0,1600,5,4,1075,656.9068778664853
11950,2,2001,74285,Petrol,110,1,0,1600,5,4,1075,591.1045164832002
12450,1,2001,74172,Petrol,110,1,0,1600,5,4,1615,569.862447388587
11950,5,2001,73042,Petrol,110,1,0,1598,5,4,1075,601.6879457949607
14950,1,2001,71793,CNG,110,1,0,1600,4,4,1067,769.4060537590235
12450,10,2001,71200,Petrol,110,1,0,1600,5,4,1075,572.3558115914292
12950,7,2001,67805,Petrol,110,1,0,1600,5,4,1075,605.7891928170079
11950,10,2001,65988,Petrol,110,1,0,1600,3,4,1040,578.2970886795767
11690,11,2001,65345,Petrol,97,1,0,1400,5,4,1060,593.9325264029903
12450,3,2001,64564,Petrol,110,1,0,1600,5,4,1080,622.1738476236546
12750,9,2001,63459,Petrol,97,1,0,1400,5,4,1060,607.0302415204408
11925,1,2001,63451,Petrol,97,0,0,1400,3,4,1025,552.5938639126367
12950,12,2001,62000,Petrol,110,1,0,1600,5,4,1075,701.6016509371204
11950,3,2001,61300,Petrol,97,1,0,1400,3,4,1030,578.6119621574516
12900,4,2001,61200,Petrol,110,1,0,1600,3,4,1045,633.5624831890942
11900,4,2001,61000,Petrol,110,0,0,1600,5,4,1075,598.3889639885152
11650,7,2001,60829,Petrol,110,1,0,1600,5,4,1075,570.2641718964137
10950,1,2001,60500,Petrol,110,0,0,1600,5,4,1075,539.030912577944
13950,10,2001,59500,Diesel,69,1,0,1900,3,4,1110,650.9063933905467
13950,1,2001,59000,Petrol,110,0,1,1600,5,4,1110,655.4884891831301
11950,5,2001,58954,Petrol,110,1,0,1600,5,4,1080,602.6600339974777
10950,7,2001,58798,Petrol,110,1,0,1600,5,4,1075,515.4284196645765
12450,7,2001,58363,Petrol,110,1,0,1600,3,4,1055,662.5904514460394
11950,2,2001,58277,Petrol,110,1,0,1600,3,4,1045,635.9247066571743
13500,12,2001,57711,Diesel,90,1,0,2000,3,4,1165,613.3591978908379
11690,12,2001,57269,Petrol,110,1,0,1600,5,4,1075,553.6943858029043
13500,6,2001,56001,Petrol,110,1,0,1600,5,4,1075,649.8664418482942
11950,3,2001,55968,Petrol,110,0,0,1600,3,4,1050,615.540564220489
12900,6,2001,55678,Petrol,110,1,0,1600,4,4,1030,659.6489517402282
13500,2,2001,55539,Petrol,110,1,0,1600,5,4,1085,651.58456806648
11750,3,2001,55400,Petrol,110,0,0,1600,5,4,1075,535.8534006974835
11750,12,2001,55350,Petrol,110,0,0,1600,5,4,1075,562.0203202689969
10850,2,2001,54600,Petrol,110,0,0,1600,4,4,1030,547.9462659773848
11750,2,2001,53773,Petrol,110,1,0,1600,5,4,1075,594.747148652773
14950,3,2001,53719,Petrol,110,1,1,1600,5,4,1105,732.2250099983632
9940,6,2001,53644,Petrol,110,1,0,1600,5,4,1075,533.8334865079819
12900,3,2001,53350,Petrol,110,0,0,1600,5,4,1075,620.3046727215582
13500,7,2001,53000,Petrol,110,1,0,1600,5,4,1075,679.5404569650026
11750,1,2001,52084,Petrol,97,1,0,1400,3,4,1025,574.3396353353642
11950,1,2001,52000,Petrol,97,0,0,1400,3,4,1025,618.6498914657176
13450,12,2001,51945,Petrol,110,1,0,1600,5,4,1075,646.9431130144465
11950,4,2001,51732,Petrol,97,1,0,1400,3,4,1025,598.4274661050671
12495,6,2001,50873,Petrol,110,1,0,1600,5,4,1075,625.2095274293382
13500,4,2001,50856,Petrol,110,0,0,1600,4,4,1030,688.0070104085654
12750,5,2001,50640,Petrol,110,1,0,1600,5,4,1075,652.1379073842403
12000,6,2001,50000,Petrol,97,1,0,1400,5,4,1060,557.396887911631
11950,7,2001,49500,Petrol,110,1,0,1600,5,4,1075,594.8644025764846
12495,1,2001,49332,Petrol,110,1,0,1600,5,4,1080,587.0748509105657
12450,11,2001,49291,Petrol,110,1,0,1600,3,4,1040,582.0948016014393
14750,5,2001,48952,Diesel,90,1,0,2000,5,4,1205,718.2196759356075
10950,6,2001,48945,Petrol,110,0,0,1600,3,4,1040,517.225296461277
13500,12,2001,48928,Diesel,69,1,0,1900,3,4,1105,704.1052949619558
12950,7,2001,48197,Petrol,110,1,0,1600,5,4,1075,557.3149320287398
13500,10,2001,48052,Diesel,69,1,0,1900,3,4,1105,694.4033812673952
13450,11,2001,48011,Petrol,110,1,0,1600,4,4,1030,619.2792222840014
13500,2,2001,48000,Petrol,110,1,0,1600,5,4,1075,713.8110191743341
11480,4,2001,47350,Petrol,110,1,0,1600,5,4,1075,605.356073753018
13450,6,2001,46821,Petrol,97,1,0,1400,5,4,1060,666.2093416112281
11495,6,2001,46694,Petrol,110,0,0,1600,3,4,1040,555.6998132393217
12750,2,2001,46515,Petrol,97,0,0,1400,5,4,1025,638.0732952875959
14990,7,2001,46327,Petrol,110,1,0,1600,3,4,1055,750.3733227871948
12950,10,2001,46304,Petrol,97,1,0,1400,5,4,1060,708.0833106526559
12950,5,2001,45886,Petrol,110,1,0,1600,5,4,1080,615.14442744507
12850,6,2001,45713,Petrol,97,1,0,1400,5,4,1085,604.8359937126148
13950,5,2001,45600,Petrol,110,1,1,1600,5,4,1105,690.0437960377274
11950,4,2001,45287,Petrol,110,1,0,1600,5,4,1075,556.0453969301118
